"files","replicates","condition","control_condition"
"Lib484-counts","N2_1","N2","TRUE"
"Lib485-counts","N2_2","N2","TRUE"
"Lib486-counts","N2_3","N2","TRUE"
"Lib487-counts","prg-1_1","prg-1","FALSE"
"Lib488-counts","prg-1_2","prg-1","FALSE"
"Lib489-counts","prg-1_3","prg-1","FALSE"
"Lib490-counts","mut-14 smut-1_1","mut-14 smut-1","FALSE"
"Lib491-counts","mut-14 smut-1_2","mut-14 smut-1","FALSE"
"Lib492-counts","mut-14 smut-1_3","mut-14 smut-1","FALSE"
"Lib493-counts","prg-1 mut-14 smut-1_1","prg-1 mut-14 smut-1","FALSE"
"Lib494-counts","prg-1 mut-14 smut-1_2","prg-1 mut-14 smut-1","FALSE"
"Lib495-counts","prg-1 mut-14 smut-1_3","prg-1 mut-14 smut-1","FALSE"
